"dok_data";"klientas";"suma";"turinys";"lesos_kodas";"lesos_pavadinimas";"pro_kodas";"pro_pavadinimas";"vf_kodas";"vf_pavadinimas";"eko_kodas";"eko_pavadinimas"
"2017-04-06";"Lietuvos Respublikos ðvietimo ir mokslo ministerija";"-1975900,00000000";"D1-ÐM";"141";"Mokinio krepðelis";"";"";"";"";"1.3.4.1.1.1.2.";"Mokinio krepðeliui finansuoti"
"2017-03-02";"Lietuvos Respublikos ðvietimo ir mokslo ministerija";"-1975900,00000000";"D1-MK";"141";"Mokinio krepðelis";"";"";"";"";"1.3.4.1.1.1.2.";"Mokinio krepðeliui finansuoti"
"2017-02-03";"Lietuvos Respublikos ðvietimo ir mokslo ministerija";"-1975900,00000000";"D1-ÐM 02 mën.";"141";"Mokinio krepðelis";"";"";"";"";"1.3.4.1.1.1.2.";"Mokinio krepðeliui finansuoti"
"2017-01-31";"Lietuvos Respublikos ðvietimo ir mokslo ministerija";"-116900,00000000";"D1-ÐM";"141";"Mokinio krepðelis";"";"";"";"";"1.3.4.1.1.1.2.";"Mokinio krepðeliui finansuoti"
"2017-01-23";"Lietuvos Respublikos ðvietimo ir mokslo ministerija";"-1200000,00000000";"D1-ÐM";"141";"Mokinio krepðelis";"";"";"";"";"1.3.4.1.1.1.2.";"Mokinio krepðeliui finansuoti"
"2017-01-23";"Lietuvos Respublikos ðvietimo ir mokslo ministerija";"-659000,00000000";"D1-ÐM";"141";"Mokinio krepðelis";"";"";"";"";"1.3.4.1.1.1.2.";"Mokinio krepðeliui finansuoti"
"2017-04-10";"Lietuvos Respublikos sveikatos apsaugos ministerija";"-35400,00000000";"Dotac.";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
"2017-04-10";"Lietuvos Respublikos sveikatos apsaugos ministerija";"-60500,00000000";"Dotac.";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
"2017-04-10";"Lietuvos Respublikos sveikatos apsaugos ministerija";"-1800,00000000";"Dotac.";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
"2017-02-28";"Lietuvos Respublikos sveikatos apsaugos ministerija";"-15100,00000000";"Dotac.";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
"2017-02-28";"Lietuvos Respublikos sveikatos apsaugos ministerija";"-24408,33000000";"Dotac.";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
"2017-02-28";"Lietuvos Respublikos sveikatos apsaugos ministerija";"-1116,67000000";"Dotac.";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
"2017-01-16";"Lietuvos Respublikos sveikatos apsaugos ministerija";"-583,33000000";"D2-SV";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
"2017-01-10";"Lietuvos Respublikos sveikatos apsaugos ministerija";"-9700,00000000";"Dotac.";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
"2017-01-10";"Lietuvos Respublikos sveikatos apsaugos ministerija";"-15791,67000000";"Dotac.";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
"2017-04-11";"Socialiniø paslaugø prieþiûros departamentas prie Socialinës apsaugos ir darbo ministerijos";"-122000,00000000";"SPF-74200, PM-46200, SIK-122000";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
"2017-04-11";"Socialiniø paslaugø prieþiûros departamentas prie Socialinës apsaugos ir darbo ministerijos";"-46200,00000000";"SPF-74200, PM-46200, SIK-122000";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
"2017-04-11";"Socialiniø paslaugø prieþiûros departamentas prie Socialinës apsaugos ir darbo ministerijos";"-74200,00000000";"SPF-74200, PM-46200, SIK-122000";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
"2017-04-10";"Socialiniø paslaugø prieþiûros departamentas prie Socialinës apsaugos ir darbo ministerijos";"-16400,00000000";"DRU";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
"2017-04-07";"Socialiniø paslaugø prieþiûros departamentas prie Socialinës apsaugos ir darbo ministerijos";"-1100,00000000";" BN-11000, JTA-4000, VTA-52800";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
"2017-04-07";"Socialiniø paslaugø prieþiûros departamentas prie Socialinës apsaugos ir darbo ministerijos";"-4000,00000000";" BN-11000, JTA-4000, VTA-52800";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
"2017-04-07";"Socialiniø paslaugø prieþiûros departamentas prie Socialinës apsaugos ir darbo ministerijos";"-52800,00000000";" BN-11000, JTA-4000, VTA-52800";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
"2017-03-10";"Socialiniø paslaugø prieþiûros departamentas prie Socialinës apsaugos ir darbo ministerijos";"-70200,00000000";"SPF10/2017-03/70200";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
"2017-03-09";"Socialiniø paslaugø prieþiûros departamentas prie Socialinës apsaugos ir darbo ministerijos";"-42500,00000000";"PM10/2017-03";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
"2017-02-10";"Socialiniø paslaugø prieþiûros departamentas prie Socialinës apsaugos ir darbo ministerijos";"-70200,00000000";"SPF-70200";"142";"Valstybës deleguotoms funkcijoms atlikti";"";"";"";"";"1.3.4.1.1.1.1.";"Valstybinëms (perduotoms savivaldybëms) funkcijoms atlikti"
